               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1067,            0.026843,            0.041823,             0.10223,           0.0045455,           0.0022198,          0.00057132,            0.063722,            0.022383,            0.031592,              0.0026,              0.0026,              0.0766
                   1,            0.084045,            0.024642,            0.039737,           0.0020695,            0.040909,           0.0022528,          0.00041197,            0.053437,            0.019162,            0.030496,           0.0052523,           0.0052523,            0.052252
                   2,            0.076144,            0.021452,            0.038902,              0.2254,            0.031818,            0.043571,            0.011504,            0.050163,            0.017337,            0.029982,            0.007856,            0.007856,            0.027856
                   3,            0.074965,            0.019765,            0.038571,            0.004601,             0.13881,           0.0048082,          0.00073701,            0.066189,             0.01285,            0.030422,             0.00973,             0.00973,             0.00973
