               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076237,            0.024264,            0.039776,            0.077383,             0.53258,            0.088169,            0.035593,             0.02646,            0.011173,            0.025878,           0.0033131,           0.0033131,            0.070182
                   1,            0.051346,             0.01771,            0.036625,             0.12693,             0.53624,             0.15236,            0.078959,            0.026035,           0.0061807,            0.024926,           0.0054501,           0.0054501,            0.038985
                   2,            0.046472,            0.014545,            0.036542,             0.16576,             0.45621,             0.25465,             0.13518,            0.035477,           0.0040791,            0.024056,           0.0063871,           0.0063871,           0.0065891
                   3,            0.037322,            0.012437,            0.036423,             0.32368,             0.36298,              0.3673,             0.26208,            0.015196,            0.003496,            0.023646,              0.0046,              0.0046,              0.0046
                   4,            0.032093,            0.010207,             0.03515,             0.56684,             0.49405,             0.47997,             0.35239,            0.013839,            0.003204,            0.022795,              0.0046,              0.0046,              0.0046
