               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075691,            0.023758,            0.039912,            0.076675,             0.58682,             0.10445,            0.054014,            0.024124,             0.01111,            0.026242,           0.0033161,           0.0033161,            0.070155
                   1,            0.051846,            0.017104,            0.037473,             0.10225,             0.67421,             0.15036,            0.056265,            0.027862,           0.0057727,            0.025137,           0.0060509,           0.0060509,            0.039557
                   2,            0.045465,            0.014048,            0.036728,              0.3715,             0.32375,             0.22937,            0.082639,            0.029855,           0.0042765,            0.024659,           0.0081858,           0.0081858,           0.0083585
                   3,            0.037545,            0.011435,            0.036174,             0.40495,             0.42224,             0.35132,             0.15613,            0.022062,           0.0036609,            0.023742,              0.0073,              0.0073,              0.0073
                   4,            0.033244,            0.010068,            0.034829,             0.33374,              0.6173,              0.4282,             0.27033,            0.017596,           0.0034826,            0.022552,              0.0073,              0.0073,              0.0073
                   5,            0.030555,            0.008954,            0.033833,             0.36988,             0.61008,             0.45703,             0.31766,            0.017084,           0.0032709,            0.020935,              0.0064,              0.0064,              0.0064
                   6,            0.025856,           0.0084104,            0.032368,              0.3553,             0.71629,             0.54177,             0.42133,            0.011602,           0.0029567,            0.019813,              0.0055,              0.0055,              0.0055
                   7,            0.024967,           0.0079086,            0.030754,             0.48634,             0.60774,             0.60287,              0.4239,            0.014288,           0.0029192,            0.018848,              0.0046,              0.0046,              0.0046
                   8,            0.023423,           0.0079678,            0.030069,              0.4746,             0.62567,             0.65025,             0.52271,             0.01033,           0.0028073,            0.017668,              0.0037,              0.0037,              0.0037
                   9,            0.022064,           0.0072978,            0.028571,             0.50129,             0.65571,             0.66583,             0.55256,            0.009714,           0.0027943,            0.016609,              0.0028,              0.0028,              0.0028
