               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076275,            0.024264,            0.039775,            0.080891,               0.518,              0.0929,            0.039804,            0.025432,            0.011246,            0.025886,           0.0033131,           0.0033131,            0.070182
                   1,            0.051023,            0.017659,            0.036614,             0.16864,             0.59882,             0.18077,            0.051326,             0.03224,           0.0060833,            0.024999,           0.0054501,           0.0054501,            0.038985
                   2,             0.04599,            0.014521,            0.036539,             0.16523,             0.67121,             0.23252,             0.13134,            0.020882,           0.0045186,            0.024196,           0.0063871,           0.0063871,           0.0065891
                   3,            0.037357,            0.012482,            0.036452,             0.28691,             0.53012,             0.39471,             0.27428,            0.017426,           0.0034995,            0.023728,              0.0046,              0.0046,              0.0046
                   4,            0.032797,            0.010335,            0.034998,             0.42909,             0.56326,             0.45785,             0.33264,            0.014007,           0.0031266,            0.022692,              0.0046,              0.0046,              0.0046
