               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046492,            0.076341,            0.019832,             0.68211,             0.53824,             0.62721,             0.41991,            0.041146,            0.039538,            0.013864,              0.0007,              0.0007,              0.0937
                   1,            0.044763,            0.068737,            0.018717,             0.68696,             0.56895,             0.65514,             0.44013,            0.040477,            0.038743,              0.0125,           0.0014851,           0.0014851,            0.086485
                   2,             0.04491,            0.062692,            0.018974,             0.74306,             0.55905,             0.66956,             0.44921,             0.04061,            0.038153,            0.011766,           0.0022545,           0.0022545,            0.079254
                   3,            0.043966,            0.064335,            0.017459,             0.67791,             0.63135,             0.69054,              0.4348,            0.044203,            0.036839,            0.010471,           0.0030079,           0.0030079,            0.072008
                   4,            0.047504,            0.058271,            0.016344,             0.68675,             0.62771,              0.6923,             0.38677,            0.047241,            0.036303,           0.0095662,           0.0037456,           0.0037456,            0.064746
                   5,            0.047618,            0.063029,            0.014833,             0.70844,             0.64405,             0.70491,             0.39597,            0.046173,            0.035748,           0.0089924,           0.0044673,           0.0044673,            0.057467
                   6,            0.050093,            0.060092,            0.014129,             0.57499,             0.59563,               0.592,             0.28936,            0.058629,            0.033898,           0.0083505,           0.0051733,           0.0051733,            0.050173
                   7,            0.054625,            0.059431,            0.014781,             0.68562,             0.62256,             0.67934,             0.37574,            0.051885,            0.032992,            0.008312,           0.0058634,           0.0058634,            0.042863
                   8,             0.05061,            0.058268,            0.013581,             0.70653,              0.6636,             0.72534,              0.3971,            0.049976,            0.033532,            0.008431,           0.0065377,           0.0065377,            0.035538
                   9,            0.051712,             0.05726,            0.013486,             0.64282,             0.71259,              0.7185,             0.43468,            0.048001,            0.033167,           0.0086675,           0.0071961,           0.0071961,            0.028196
                  10,            0.049369,            0.058904,            0.014958,             0.56464,             0.72164,             0.68757,             0.36254,              0.0567,             0.03124,           0.0080797,           0.0078387,           0.0078387,            0.020839
                  11,            0.059099,            0.048801,            0.014082,             0.61966,             0.73068,              0.7418,             0.38794,             0.05003,            0.033714,           0.0092177,           0.0084655,           0.0084655,            0.013465
                  12,            0.050208,            0.056483,            0.015423,             0.75844,             0.67763,             0.76623,             0.40626,            0.048316,            0.032272,           0.0095049,            0.008812,            0.008812,            0.008812
                  13,            0.053129,            0.053949,            0.014884,             0.71052,             0.61191,              0.6869,             0.39644,            0.051672,            0.036577,             0.01166,            0.008812,            0.008812,            0.008812
                  14,             0.05188,            0.053657,             0.01551,              0.7121,             0.59959,             0.69732,             0.38658,            0.051486,            0.034179,            0.010925,            0.008713,            0.008713,            0.008713
                  15,            0.051153,            0.051695,             0.01478,             0.80421,             0.58731,             0.69992,             0.34441,            0.052887,            0.035214,            0.011637,            0.008614,            0.008614,            0.008614
                  16,            0.053212,            0.059208,            0.013504,              0.7748,             0.69412,             0.76582,             0.42228,            0.049451,            0.031571,             0.00946,            0.008515,            0.008515,            0.008515
                  17,            0.048869,            0.054562,            0.013928,             0.79776,             0.71925,               0.804,             0.45357,            0.049324,            0.030724,           0.0082618,            0.008416,            0.008416,            0.008416
