               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046491,            0.076322,            0.019831,             0.66969,             0.54272,             0.62727,             0.41951,            0.041147,            0.039546,            0.013865,              0.0007,              0.0007,              0.0937
                   1,            0.044762,            0.068735,            0.018715,             0.68796,             0.56863,             0.65522,             0.44198,            0.040464,            0.038725,            0.012497,            0.001495,            0.001495,            0.086495
                   2,            0.045503,            0.062596,            0.018852,             0.75209,             0.56101,             0.68253,              0.4355,            0.041346,            0.038138,            0.011515,           0.0022848,           0.0022848,            0.079285
                   3,            0.044024,            0.064126,            0.017092,             0.68565,             0.63398,             0.70215,             0.44466,            0.042336,            0.037092,            0.010494,           0.0030693,           0.0030693,            0.072069
                   4,            0.045967,            0.058824,            0.016512,             0.69873,             0.64658,             0.69253,             0.40747,            0.046006,            0.036004,            0.009453,           0.0038485,           0.0038485,            0.064849
                   5,            0.048429,            0.062993,            0.014971,             0.68527,             0.64176,             0.69261,             0.37846,            0.048326,            0.035538,           0.0089359,           0.0046225,           0.0046225,            0.057622
                   6,            0.049703,             0.06006,            0.014218,             0.64844,             0.63463,              0.6653,             0.36795,            0.053261,            0.033796,           0.0084053,           0.0053911,           0.0053911,            0.050391
                   7,            0.054564,            0.059494,            0.014693,             0.53945,             0.66272,             0.63155,             0.33254,            0.059529,            0.032202,           0.0080568,           0.0061545,           0.0061545,            0.043154
                   8,            0.054196,            0.057882,            0.013607,             0.64833,             0.61353,              0.6828,             0.39409,            0.052356,            0.033979,           0.0091568,           0.0069126,           0.0069126,            0.035913
                   9,             0.05212,            0.057128,            0.013743,             0.68661,              0.6746,             0.72063,             0.42247,            0.047401,            0.033079,           0.0088941,           0.0076654,           0.0076654,            0.028665
                  10,            0.049155,            0.059021,            0.015579,             0.69497,             0.60567,              0.6999,             0.38166,            0.050354,            0.033696,           0.0089423,           0.0084129,           0.0084129,            0.021413
                  11,            0.054305,            0.048869,            0.014186,             0.63015,             0.67606,             0.71108,             0.39683,            0.049665,            0.034252,           0.0093642,           0.0091552,           0.0091552,            0.014155
                  12,            0.052603,            0.054944,             0.01512,              0.6503,             0.60128,             0.65701,             0.35062,            0.051839,            0.036484,            0.011612,            0.009604,            0.009604,            0.009604
